Feature,Importancia,Porcentaje,Porcentaje_Acumulado,Modelo
HT_WinRate5,0.011684598202891352,1.1684598202891352,98.16856523564343,1X2 Principal
Position_Reliability,0.007319248628788736,0.7319248628788736,98.9004900985223,1X2 Principal
HT_Games_15d,0.0060876466260548255,0.6087646626054826,99.50925476112778,1X2 Principal
AH_Implied_Home,0.004907452388722003,0.4907452388722003,99.99999999999997,1X2 Principal
Elo_Diff,0.04197656238646121,4.197656238646121,4.197656238646121,1X2 Sin Cuotas
Elo_WinProb_H,0.03323872755153297,3.323872755153297,7.521528993799418,1X2 Sin Cuotas
HT_Elo,0.024406583939526074,2.4406583939526074,9.962187387752024,1X2 Sin Cuotas
xG_Diff,0.023893034987545348,2.389303498754535,12.351490886506559,1X2 Sin Cuotas
AT_Elo,0.020061334577389706,2.0061334577389704,14.35762434424553,1X2 Sin Cuotas
Position_Diff_Weighted,0.019081949951748844,1.9081949951748844,16.265819339420414,1X2 Sin Cuotas
AT_xGA_Avg,0.01774078846760959,1.774078846760959,18.03989818618137,1X2 Sin Cuotas
HT_xG_Avg,0.017199930832031418,1.7199930832031418,19.759891269384514,1X2 Sin Cuotas
Position_Diff,0.017158385916005173,1.7158385916005172,21.47572986098503,1X2 Sin Cuotas
AT_xG_Avg,0.015482448480236825,1.5482448480236826,23.023974709008712,1X2 Sin Cuotas
AT_SoR5,0.014803390487870088,1.4803390487870087,24.50431375779572,1X2 Sin Cuotas
xG_Total,0.014221495744633893,1.4221495744633894,25.92646333225911,1X2 Sin Cuotas
HT_SoR5,0.013899083743063758,1.3899083743063758,27.316371706565487,1X2 Sin Cuotas
HT_xG_EWM5,0.01383414056355768,1.383414056355768,28.699785762921255,1X2 Sin Cuotas
HT_xGA_Avg,0.013437168750836575,1.3437168750836574,30.043502638004913,1X2 Sin Cuotas
HT_GoalsFor_EWM5,0.013303347073087586,1.3303347073087586,31.37383734531367,1X2 Sin Cuotas
HT_xG_Global,0.013240082858010508,1.324008285801051,32.697845631114724,1X2 Sin Cuotas
H2H_Total_Goals_Avg,0.012627715626173663,1.2627715626173663,33.96061719373209,1X2 Sin Cuotas
Rest_Diff,0.012624658678685523,1.2624658678685523,35.22308306160064,1X2 Sin Cuotas
HT_xG_Avg_10,0.012531814067102251,1.2531814067102252,36.476264468310866,1X2 Sin Cuotas
HT_GoalsAgainst_EWM5,0.012522114762707131,1.252211476270713,37.72847594458158,1X2 Sin Cuotas
AT_xGA_EWM5,0.012329920381691886,1.2329920381691886,38.96146798275077,1X2 Sin Cuotas
AT_GoalsAgainst_EWM5,0.012243129151395343,1.2243129151395342,40.185780897890304,1X2 Sin Cuotas
AT_Pts_EWM5,0.012106475645880459,1.210647564588046,41.39642846247835,1X2 Sin Cuotas
AT_Days_Rest,0.012006397003071934,1.2006397003071934,42.59706816278554,1X2 Sin Cuotas
AT_xG_Avg_10,0.01195929484288175,1.195929484288175,43.79299764707371,1X2 Sin Cuotas
HT_Days_Rest,0.011948844557125709,1.1948844557125708,44.98788210278628,1X2 Sin Cuotas
